window,kind,modality,dcor_statistic,dcor_permutation_p,procrustes_permutation_p,rv_value,rv_permutation_p,multiblock_blocks_used,multiblock_joint_components,multiblock_warning,component,band_label,baseline_rmse_loocv,baseline_mae_loocv,feature_set,model_type,band_lower_nm,band_upper_nm
320_480nm,6Oclock,dad,0.600072328618511,0.5615438456154385,0.3035696430356964,0.7249344558773894,0.3997600239976002,"['12Oclock', '6Oclock']",1,,total,360_410nm,0.595318897103383,0.5388543529208621,phase9,ridge,360.0,410.0
320_480nm,6Oclock,dad,0.600072328618511,0.5615438456154385,0.3035696430356964,0.7249344558773894,0.3997600239976002,"['12Oclock', '6Oclock']",1,,oxidized,360_410nm,0.4690385687094874,0.3582539530245568,phase9,ridge,360.0,410.0
320_480nm,6Oclock,dad,0.600072328618511,0.5615438456154385,0.3035696430356964,0.7249344558773894,0.3997600239976002,"['12Oclock', '6Oclock']",1,,reduced,360_410nm,0.5440890715328708,0.4857688851441786,phase9,ridge,360.0,410.0
320_480nm,6Oclock,dad,0.600072328618511,0.5615438456154385,0.3035696430356964,0.7249344558773894,0.3997600239976002,"['12Oclock', '6Oclock']",1,,total,peak_band_auto,0.5632006894153337,0.4285645423952733,phase9,ridge,300.0,600.0
320_480nm,6Oclock,dad,0.600072328618511,0.5615438456154385,0.3035696430356964,0.7249344558773894,0.3997600239976002,"['12Oclock', '6Oclock']",1,,oxidized,peak_band_auto,0.655064226714554,0.5504356309572831,phase9,ridge,300.0,600.0
320_480nm,6Oclock,dad,0.600072328618511,0.5615438456154385,0.3035696430356964,0.7249344558773894,0.3997600239976002,"['12Oclock', '6Oclock']",1,,reduced,peak_band_auto,0.3844002920344671,0.3052687467745151,phase9,ridge,300.0,600.0
320_480nm,6Oclock,latent,0.686618222680795,0.3351664833516648,0.1666833316668333,0.9274932153400924,0.2557744225577442,"['12Oclock', '6Oclock']",1,,total,320_480nm,1.000097107661028,0.6654759708637714,phase9,ridge,320.0,480.0
320_480nm,6Oclock,latent,0.686618222680795,0.3351664833516648,0.1666833316668333,0.9274932153400924,0.2557744225577442,"['12Oclock', '6Oclock']",1,,total,360_410nm,0.3094578963923366,0.2797738041310271,phase9,ridge,360.0,410.0
320_480nm,6Oclock,latent,0.686618222680795,0.3351664833516648,0.1666833316668333,0.9274932153400924,0.2557744225577442,"['12Oclock', '6Oclock']",1,,total,peak_band_auto,0.3235356345327593,0.2549297546626271,phase9,ridge,300.0,600.0
320_480nm,Delta,chrom,0.6933106229689188,0.2996700329967003,0.4408559144085591,0.6959704977110209,0.2977702229777022,"['12Oclock', '6Oclock']",1,,total,320_480nm,0.6037862629844786,0.4289146143765398,phase9,ridge,320.0,480.0
320_480nm,Delta,chrom,0.6933106229689188,0.2996700329967003,0.4408559144085591,0.6959704977110209,0.2977702229777022,"['12Oclock', '6Oclock']",1,,oxidized,320_480nm,0.5789741648438816,0.4206936098925801,phase9,ridge,320.0,480.0
320_480nm,Delta,chrom,0.6933106229689188,0.2996700329967003,0.4408559144085591,0.6959704977110209,0.2977702229777022,"['12Oclock', '6Oclock']",1,,reduced,320_480nm,0.4401064737242435,0.38256401524165,phase9,ridge,320.0,480.0
320_480nm,Delta,chrom,0.6933106229689188,0.2996700329967003,0.4408559144085591,0.6959704977110209,0.2977702229777022,"['12Oclock', '6Oclock']",1,,total,360_410nm,0.5740522466043384,0.4321258226778863,phase9,ridge,360.0,410.0
320_480nm,Delta,chrom,0.6933106229689188,0.2996700329967003,0.4408559144085591,0.6959704977110209,0.2977702229777022,"['12Oclock', '6Oclock']",1,,oxidized,360_410nm,0.2964587028744653,0.2674379481394665,phase9,ridge,360.0,410.0
320_480nm,Delta,chrom,0.6933106229689188,0.2996700329967003,0.4408559144085591,0.6959704977110209,0.2977702229777022,"['12Oclock', '6Oclock']",1,,reduced,360_410nm,1.1482115692905597,0.8818564424355025,phase9,ridge,360.0,410.0
320_480nm,Delta,chrom,0.6933106229689188,0.2996700329967003,0.4408559144085591,0.6959704977110209,0.2977702229777022,"['12Oclock', '6Oclock']",1,,total,peak_band_auto,0.4473304033269744,0.3881316324255922,phase9,ridge,300.0,600.0
320_480nm,Delta,chrom,0.6933106229689188,0.2996700329967003,0.4408559144085591,0.6959704977110209,0.2977702229777022,"['12Oclock', '6Oclock']",1,,oxidized,peak_band_auto,0.4201292041993723,0.3801893936552376,phase9,ridge,300.0,600.0
