dose_id,angle,band_label,wavelength_nm,reflectance
dose_1,12Oclock,320_480nm,472.5,0.2173138459523519
dose_1,12Oclock,320_480nm,473.0,0.2099518726269403
dose_1,12Oclock,320_480nm,473.5,0.2132565726836522
dose_1,12Oclock,320_480nm,474.0,0.2101643433173497
dose_1,12Oclock,320_480nm,474.5,0.2127109716335932
dose_1,12Oclock,320_480nm,475.0,0.2138956338167189
dose_1,12Oclock,320_480nm,475.5,0.2173790236314138
dose_1,12Oclock,320_480nm,476.0,0.2166408002376556
dose_1,12Oclock,320_480nm,476.5,0.2146767775217691
dose_1,12Oclock,320_480nm,477.0,0.2138998607794443
dose_1,12Oclock,320_480nm,477.5,0.2164721091588338
dose_1,12Oclock,320_480nm,478.0,0.2150342514117559
dose_1,12Oclock,320_480nm,478.5,0.2114969889322916
dose_1,12Oclock,320_480nm,479.0,0.2107253074645995
dose_1,12Oclock,320_480nm,479.5,0.2119691868623097
dose_1,12Oclock,320_480nm,480.0,0.2146051377058029
dose_2,12Oclock,320_480nm,320.0,0.0823186188936233
dose_2,12Oclock,320_480nm,320.5,0.0870345036188761
dose_2,12Oclock,320_480nm,321.0,0.0865541125337282
dose_2,12Oclock,320_480nm,321.5,0.0864673703908919
dose_2,12Oclock,320_480nm,322.0,0.0873793835441271
dose_2,12Oclock,320_480nm,322.5,0.085111491382122
dose_2,12Oclock,320_480nm,323.0,0.0878445009390513
dose_2,12Oclock,320_480nm,323.5,0.0917754520972569
dose_2,12Oclock,320_480nm,324.0,0.0875028744339942
dose_2,12Oclock,320_480nm,324.5,0.0882540047168731
dose_2,12Oclock,320_480nm,325.0,0.0923628136515617
dose_2,12Oclock,320_480nm,325.5,0.0895414128899573
dose_2,12Oclock,320_480nm,326.0,0.0930746595064799
dose_2,12Oclock,320_480nm,326.5,0.0936647777756054
dose_2,12Oclock,320_480nm,327.0,0.0922067662080128
dose_2,12Oclock,320_480nm,327.5,0.0930169448256492
dose_2,12Oclock,320_480nm,328.0,0.0930549254020054
dose_2,12Oclock,320_480nm,328.5,0.0945375114679335
dose_2,12Oclock,320_480nm,329.0,0.0937019437551498
dose_2,12Oclock,320_480nm,329.5,0.0916165982683499
dose_2,12Oclock,320_480nm,330.0,0.0917603919903436
dose_2,12Oclock,320_480nm,330.5,0.0957798113425572
dose_2,12Oclock,320_480nm,331.0,0.0938799679279327
dose_2,12Oclock,320_480nm,331.5,0.0916220148404438
dose_2,12Oclock,320_480nm,332.0,0.0967771559953689
dose_2,12Oclock,320_480nm,332.5,0.0940282270312308
dose_2,12Oclock,320_480nm,333.0,0.0926797191301981
dose_2,12Oclock,320_480nm,333.5,0.097436728576819
dose_2,12Oclock,320_480nm,334.0,0.0940545375148455
dose_2,12Oclock,320_480nm,334.5,0.0955220659573872
dose_2,12Oclock,320_480nm,335.0,0.0954349637031555
dose_2,12Oclock,320_480nm,335.5,0.0918122505148251
dose_2,12Oclock,320_480nm,336.0,0.0927362814545631
dose_2,12Oclock,320_480nm,336.5,0.0934988061587015
dose_2,12Oclock,320_480nm,337.0,0.0940819010138511
dose_2,12Oclock,320_480nm,337.5,0.0929509078462918
dose_2,12Oclock,320_480nm,338.0,0.0931495577096938
dose_2,12Oclock,320_480nm,338.5,0.0937614068388938
dose_2,12Oclock,320_480nm,339.0,0.0957797865072885
dose_2,12Oclock,320_480nm,339.5,0.0971832275390624
dose_2,12Oclock,320_480nm,340.0,0.0932397445042927
dose_2,12Oclock,320_480nm,340.5,0.0955203374226887
dose_2,12Oclock,320_480nm,341.0,0.0956342940529187
dose_2,12Oclock,320_480nm,341.5,0.0950616647799809
dose_2,12Oclock,320_480nm,342.0,0.0974782109260558
dose_2,12Oclock,320_480nm,342.5,0.0973825057347615
dose_2,12Oclock,320_480nm,343.0,0.0971843476096788
dose_2,12Oclock,320_480nm,343.5,0.1000622163216272
dose_2,12Oclock,320_480nm,344.0,0.0981312543153762
dose_2,12Oclock,320_480nm,344.5,0.1000878910223642
dose_2,12Oclock,320_480nm,345.0,0.0989608938495317
dose_2,12Oclock,320_480nm,345.5,0.0970197841525077
dose_2,12Oclock,320_480nm,346.0,0.0990011716882387
dose_2,12Oclock,320_480nm,346.5,0.0998427222172419
dose_2,12Oclock,320_480nm,347.0,0.1003365144133567
dose_2,12Oclock,320_480nm,347.5,0.1015351985891659
dose_2,12Oclock,320_480nm,348.0,0.1003625219066937
